species,image_url,image_filename
Black-winged Kite,https://inaturalist-open-data.s3.amazonaws.com/photos/4939/small.jpg,80b09a8c1cd0b382adc2c2fcfa88066be3fa4a0e.jpg
African Fish Eagle,https://inaturalist-open-data.s3.amazonaws.com/photos/32106/small.jpg,3a8bf1812095a0da9535fc4a6b319aee26aa0b77.jpg
Crowned Hawk-Eagle,https://inaturalist-open-data.s3.amazonaws.com/photos/734476/small.jpg,1581fc4ccc3f5fa0c98477a9df34b145fde4e952.jpg
Honey Buzzard,https://inaturalist-open-data.s3.amazonaws.com/photos/8970/small.jpg,7a2041ddc52c60a18ce661fba75b2aa8686ce7d5.jpg
Long-crested Eagle,https://inaturalist-open-data.s3.amazonaws.com/photos/33149/small.jpg,82825f32ea5872977656e3f62bdca8bdc8e0a6e9.jpg
Dark Chanting-Goshawk,https://inaturalist-open-data.s3.amazonaws.com/photos/188597/small.jpg,2d0d77aac817629a9d82bef124ee1dd69babcfb1.jpg
Eastern Chanting-Goshawk,https://inaturalist-open-data.s3.amazonaws.com/photos/33623/small.jpg,9b1b33c9b9dd92027d046325602b3341db5faae9.jpg
Martial Eagle,https://inaturalist-open-data.s3.amazonaws.com/photos/8648/small.jpg,89df44aa37cedf9a8deb831673fff4c04fdcd0d2.jpg
Egyptian Vulture,https://inaturalist-open-data.s3.amazonaws.com/photos/6572/small.jpg,b89a023871372318dd5cf56afa9a7ea3318623b2.jpg
White-backed Vulture,https://inaturalist-open-data.s3.amazonaws.com/photos/7899/small.jpg,c39c1aeb266dda27a47380e56e492f6107bb7ff7.jpg
Rueppell's Griffon,https://inaturalist-open-data.s3.amazonaws.com/photos/782496/small.jpg,9b0a2e2638fb018670c45d2536aa4b6c83d82150.jpg
Grasshopper Buzzard,https://inaturalist-open-data.s3.amazonaws.com/photos/782487/small.jpg,3f45618e2a5b016218ba9a220d5f50bafd1f4872.jpg
Lammergeier,https://inaturalist-open-data.s3.amazonaws.com/photos/135778/small.jpg,2c02a2ed3beec3c4c7d301e2ea3544a5b061e86d.jpg
White-headed Vulture,https://inaturalist-open-data.s3.amazonaws.com/photos/43728/small.jpg,64bfb18f48ab8feca2d3147c1f11f6074058d268.jpg
Bat Hawk,https://inaturalist-open-data.s3.amazonaws.com/photos/669069/small.jpg,ec13f6b067386ac66bc906127d30d5fa0b5c61ec.jpg
Palm-nut Vulture,https://inaturalist-open-data.s3.amazonaws.com/photos/78389/small.jpg,42722711156b8a64184dc3b276de6f8826af6e9f.jpg
Hooded Vulture,https://inaturalist-open-data.s3.amazonaws.com/photos/8078/small.jpg,6201015c85114e8efd7fb5c0ae16639106cc5fc5.jpg
Scissor-tailed Kite,https://inaturalist-open-data.s3.amazonaws.com/photos/149425/small.jpg,c3b64ea60b95821930cd3c04e16d49d7eb3ee61f.jpg
Lizard Buzzard,https://inaturalist-open-data.s3.amazonaws.com/photos/795373/small.jpg,5ca8b2a1c48903f43ee29426d56fcab8d48637ee.jpg
Kori Bustard,https://inaturalist-open-data.s3.amazonaws.com/photos/224407/small.jpg,04c60b77d11715e59292cc17d67688d44a3bd55c.jpg
Stanley Bustard,https://inaturalist-open-data.s3.amazonaws.com/photos/188787/small.jpg,bd4fb572ed512d72c18d26d26332dd68d0fef050.jpg
Heuglin's Bustard,https://inaturalist-open-data.s3.amazonaws.com/photos/644832/small.jpg,231bcda8b9d57737a1a956504760b98a9285c1ab.jpg
White-bellied Bustard,https://inaturalist-open-data.s3.amazonaws.com/photos/33617/small.jpg,0b99987fb298440041221675e9d57bc619f7a827.jpg
Red-footed Booby,https://inaturalist-open-data.s3.amazonaws.com/photos/6950/small.jpg,55191671d44cd4f7e562497c8299fb004fab9321.jpg
Cape Gannet,https://inaturalist-open-data.s3.amazonaws.com/photos/232453/small.jpg,c96c6be2feac69041b7510defac9589f1a50a53c.jpg
Great Cormorant,https://inaturalist-open-data.s3.amazonaws.com/photos/6576/small.jpg,5c036d0a7b5a2b63bdcfe65701d2573e875e9084.jpg
African Darter,https://inaturalist-open-data.s3.amazonaws.com/photos/6178/small.jpg,2e19141077423ed11a0054494b9a19fd4a6f48e1.jpg
Ethiopian Swallow,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Angola Swallow,https://inaturalist-open-data.s3.amazonaws.com/photos/217669/small.jpg,3f9cec4ec4fc05ac750b4e57d26cf4a184ce757f.jpg
Blue Swallow,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Barn Swallow,https://inaturalist-open-data.s3.amazonaws.com/photos/284814/small.jpg,95de68609c50bef3ed76f20bbdebc8fbd7773977.jpg
Wire-tailed Swallow,https://inaturalist-open-data.s3.amazonaws.com/photos/54291/small.jpg,046a6613bfb08bfba490403434f61ec8de09d3c1.jpg
Banded Martin,https://inaturalist-open-data.s3.amazonaws.com/photos/22754/small.jpg,d5da3c9a24b784b2b47644620ae177ae5c6dfbae.jpg
Plain Martin,https://inaturalist-open-data.s3.amazonaws.com/photos/188580/small.jpg,a4aa2ac6d150a1ef5771ddac9ca0aebe37fb52bf.jpg
Bank Swallow,https://inaturalist-open-data.s3.amazonaws.com/photos/7767/small.jpg,7a2bc906dda2608fc4e82ea0bfbde6a6d3067cf4.jpg
White-headed Sawwing,https://inaturalist-open-data.s3.amazonaws.com/photos/217671/small.jpg,7d8d144da31c288d51b7df9f1cbfa6a9698e20cb.jpg
Black Sawwing,https://inaturalist-open-data.s3.amazonaws.com/photos/188581/small.jpg,a7784719263f1326255058591945ae997b572398.jpg
Long-tailed Fiscal,https://inaturalist-open-data.s3.amazonaws.com/photos/217677/small.jpg,33bb1192912401a9befafc9ac53cafffd9d3ccdf.jpg
Common Fiscal,https://inaturalist-open-data.s3.amazonaws.com/photos/22584/small.jpg,8fd370e605d2d02fbaef13c5777f78d961ae9e4a.jpg
Red-backed Shrike,https://inaturalist-open-data.s3.amazonaws.com/photos/5961/small.jpg,3b41d3aef8e382e6433c8d497ac0a3841f2c988e.jpg
Teita Fiscal,https://inaturalist-open-data.s3.amazonaws.com/photos/217674/small.jpg,a6b4ae43b0df1b7bb16cf6ff11bb29b8b740446a.jpg
Gray-backed Fiscal,https://inaturalist-open-data.s3.amazonaws.com/photos/767825/small.jpg,f2a7f0bf21aed437b3d8dd55b03bfa0a92b4bd5b.jpg
Rufous-tailed Shrike,https://inaturalist-open-data.s3.amazonaws.com/photos/782574/small.jpg,87ac5a57632494b6d43996a0cbb35836a8e42ad6.jpg
Mackinnon's Shrike,https://inaturalist-open-data.s3.amazonaws.com/photos/91997/small.JPG,d7e28beb3b1b07fb6cda49f7f30648f3f9b83f3a.jpg
Woodchat Shrike,https://inaturalist-open-data.s3.amazonaws.com/photos/41749/small.jpg,3554b27e95e50a90ce783d74a760640b92325ba4.jpg
Somali Fiscal,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Yellow-billed Shrike,https://inaturalist-open-data.s3.amazonaws.com/photos/8047/small.jpg,02f168e25c568a883d59e0e6b269015db3356b2b.jpg
White-rumped Shrike,https://inaturalist-open-data.s3.amazonaws.com/photos/217680/small.jpg,3dc1d89e0cbb1122dac49fc88d4f4dce49ef27e5.jpg
Cape Robin-Chat,https://inaturalist-open-data.s3.amazonaws.com/photos/107300/small.jpg,8622d17142c04dc7d72b98b1c4ab16030cfc719c.jpg
Blue-shouldered Robin-Chat,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
White-browed Robin-Chat,https://inaturalist-open-data.s3.amazonaws.com/photos/25749/small.jpg,a22e0bedf72afd04dfa877d1d3786ff7cbdba4ab.jpg
Red-capped Robin-Chat,https://inaturalist-open-data.s3.amazonaws.com/photos/166024/small.jpg,eba334721a12f8bd17a788688c323b94f129430a.jpg
Snowy-crowned Robin-Chat,https://inaturalist-open-data.s3.amazonaws.com/photos/90503/small.jpg,86fae731fc929c66eb1c909f8519ead6b7909d21.jpg
Gray-winged Robin-Chat,https://inaturalist-open-data.s3.amazonaws.com/photos/773826/small.jpg,6e77145233d3b5cd259a7c57ed5f01e9946ff351.jpg
Rueppell's Robin-Chat,https://inaturalist-open-data.s3.amazonaws.com/photos/641541/small.jpg,28d53f7d479fd7245bff873f4f5835645cba13e5.jpg
African Gray Flycatcher,https://inaturalist-open-data.s3.amazonaws.com/photos/217681/small.jpg,c79a1c9da6edfcc765574208f051f2595f488f09.jpg
Pale Flycatcher,https://inaturalist-open-data.s3.amazonaws.com/photos/90507/small.jpg,c5b0f85d4daf34cd20764f9cb3b0cebef11cf07d.jpg
Red-breasted Wheatear,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Mourning Wheatear,https://inaturalist-open-data.s3.amazonaws.com/photos/21804/small.jpg,3647507e308b2ec142be8306b0eaddad9d3ad2be.jpg
Northern Wheatear,https://inaturalist-open-data.s3.amazonaws.com/photos/9082/small.jpg,0c9c14b1f494ae45259d9c62450c34d0a5690323.jpg
Pied Wheatear,https://inaturalist-open-data.s3.amazonaws.com/photos/78177/small.jpg,22394ff2a072619bfce1653995f7b94f415afe41.jpg
Yellow Flycatcher,https://inaturalist-open-data.s3.amazonaws.com/photos/629649/small.jpg,bb489cd54ea2cf1982389f6ff4e451d73aea650e.jpg
Olive Thrush,https://inaturalist-open-data.s3.amazonaws.com/photos/20705/small.jpg,0d19df077c27e5c771054954355f761f7d33a23b.jpg
African Thrush,https://inaturalist-open-data.s3.amazonaws.com/photos/325017/small.JPG,eeb035cd5361a3dd2339613d0139a9d4bcf9f500.jpg
African Bare-eyed Thrush,https://inaturalist-open-data.s3.amazonaws.com/photos/20695/small.jpg,c988c57b2701047faae26b977aa78ab82a4a3793.jpg
African Broadbill,https://inaturalist-open-data.s3.amazonaws.com/photos/151947/small.jpg,8ea0c72be0854d9154fca8cc50975d93dc48d8ba.jpg
Brown-rumped Bunting,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Golden-breasted Bunting,https://inaturalist-open-data.s3.amazonaws.com/photos/15982/small.jpg,14da19ee2d1fe7b72d901d8a722050cc7c2cd004.jpg
Somali Bunting,https://inaturalist-open-data.s3.amazonaws.com/photos/782471/small.jpg,6b8940527f999337807ed63a3c00f30898622f53.jpg
Striolated Bunting,https://inaturalist-open-data.s3.amazonaws.com/photos/15984/small.jpg,e0bdb3e5c873c74389103a474b517fbd6460b679.jpg
Cinnamon-breasted Bunting,https://inaturalist-open-data.s3.amazonaws.com/photos/148281/small.jpg,8736d4b2e19da8d214454b344d799e6bbd8dfe6f.jpg
Black-headed Batis,https://inaturalist-open-data.s3.amazonaws.com/photos/164285/small.jpg,55f8770f12bc432e447caef20709ad2bb65edabc.jpg
Short-tailed Batis,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Chinspot Batis,https://inaturalist-open-data.s3.amazonaws.com/photos/25895/small.jpg,581a230560a1bdb5d5d678d64f2a6d62fc4b6eb0.jpg
Gray-headed Batis,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Pygmy Batis,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Pale Batis,https://inaturalist-open-data.s3.amazonaws.com/photos/850675/small.jpg,e82436ed05ae7d0fd7ed6720cfa01b6fe09f6cfc.jpg
Chestnut Wattle-eye,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Yellow-bellied Wattle-eye,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Brown-throated Wattle-eye,https://inaturalist-open-data.s3.amazonaws.com/photos/654454/small.jpg,865922e760235a8aa0803c839a436d6f637d3519.jpg
Jameson's Wattle-eye,https://inaturalist-open-data.s3.amazonaws.com/photos/90550/small.jpg,18ac81d79856261bb977e439d6c59aaaeca9f37d.jpg
Black-throated Wattle-eye,https://inaturalist-open-data.s3.amazonaws.com/photos/90552/small.jpg,29c99f8da1f82e9552870fd1ac92d91b6173dc51.jpg
Gray Cuckoo-shrike,https://inaturalist-open-data.s3.amazonaws.com/photos/90526/small.jpg,ad1e5bbcf54176a5f93f63035c5b56e33784376d.jpg
White-breasted Cuckoo-shrike,https://inaturalist-open-data.s3.amazonaws.com/photos/978351/small.jpg,804ff989eb35c168724899547df82f6f395e6ed5.jpg
Black Cuckoo-shrike,https://inaturalist-open-data.s3.amazonaws.com/photos/978349/small.jpg,d071156f77bc85b9b669574c0e6af15f5cfed5e4.jpg
Petit's Cuckoo-shrike,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Red-shouldered Cuckoo-shrike,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Purple-throated Cuckoo-shrike,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Fork-tailed Drongo,https://inaturalist-open-data.s3.amazonaws.com/photos/245337/small.jpg,a256ea2c0dfe9f3913e7493106d94dd349a6e899.jpg
Square-tailed Drongo,https://inaturalist-open-data.s3.amazonaws.com/photos/727576/small.jpg,60ae06b82d1866f4d166827d6da51dad5ad97492.jpg
Gray-green Bushshrike,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Doherty's Bushshrike,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Black-fronted Bushshrike,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Orange-breasted Bush-Shrike,https://inaturalist-open-data.s3.amazonaws.com/photos/25471/small.jpg,83a9aa313a4f8f72b50f26782e8416f2e8b73159.jpg
Tropical Boubou,https://inaturalist-open-data.s3.amazonaws.com/photos/24094/small.jpg,cd637b3c453936319fefc6fafc4fab876d89ef67.jpg
Black-headed Gonolek,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Fuelleborn's Boubou,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Slate-colored Boubou,https://inaturalist-open-data.s3.amazonaws.com/photos/24100/small.jpg,fb76d42553c9d9f49d2f5856df4cb6c1a6021ed1.jpg
Luehder's Bushshrike,https://inaturalist-open-data.s3.amazonaws.com/photos/90570/small.jpg,35afa31dd35d209ea1baee515bb5b1645d66be13.jpg
Papyrus Gonolek,https://inaturalist-open-data.s3.amazonaws.com/photos/24103/small.jpg,a595da92e72b4e5271c8d0190e754a3a1476d721.jpg
Red-naped Bushshrike,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Gray-headed Bushshrike,https://inaturalist-open-data.s3.amazonaws.com/photos/649499/small.jpg,1dc3a9143dbc26cfc8092cbdae5a1d1b443837c9.jpg
Pink-footed Puffback,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Black-backed Puffback,https://inaturalist-open-data.s3.amazonaws.com/photos/649512/small.jpg,228f6f30d50a85b980942b621497f03845445013.jpg
Northern Puffback,https://inaturalist-open-data.s3.amazonaws.com/photos/90569/small.jpg,c0eac4b1157fe8197d570fb9901edb2d2a91814d.jpg
Pringle's Puffback,https://inaturalist-open-data.s3.amazonaws.com/photos/649508/small.jpg,48497d8f57c56df8fc3859faba272007b1c85687.jpg
Brown-crowned Tchagra,https://inaturalist-open-data.s3.amazonaws.com/photos/90566/small.jpg,9ae2f7482a74e6465c01e2ae856ba4bf245aaedd.jpg
Three-streaked Tchagra,https://inaturalist-open-data.s3.amazonaws.com/photos/90567/small.jpg,3126419e759ee12860749d56e33efac5cf927fe2.jpg
Brubru,https://inaturalist-open-data.s3.amazonaws.com/photos/649510/small.jpg,594290b9e63a5fac28de13c26ca6dd3b4d4364c5.jpg
Rosy-patched Bushshrike,https://inaturalist-open-data.s3.amazonaws.com/photos/649519/small.jpg,50c9984eb11103205437f442b9b799ee32a749d1.jpg
African Paradise-Flycatcher,https://inaturalist-open-data.s3.amazonaws.com/photos/107683/small.jpg,8678bd8e6728cd9a1eb22274da868e74907fd0f8.jpg
African Crested-Flycatcher,https://inaturalist-open-data.s3.amazonaws.com/photos/323159/small.JPG,d787f6cd18d5825c718c697379a3d733039db584.jpg
African Golden Oriole,https://inaturalist-open-data.s3.amazonaws.com/photos/92212/small.jpg,2088388ae6bcea26453e4f068b155785e3e9dfe6.jpg
Western Black-headed Oriole,https://inaturalist-open-data.s3.amazonaws.com/photos/88533/small.JPG,5924a3b0b5fa10a28496d5b19359a3c202c3b188.jpg
Green-headed Oriole,https://inaturalist-open-data.s3.amazonaws.com/photos/92219/small.jpg,b099ece3d680b358396444cc571786197c726bf9.jpg
Black-headed Oriole,https://inaturalist-open-data.s3.amazonaws.com/photos/25790/small.jpg,ecf3a9b31092872c8a8c786c3c41322c850766af.jpg
Eurasian Golden Oriole,https://inaturalist-open-data.s3.amazonaws.com/photos/3598/small.jpg,76866c86d62585471e4dae86082dbf67efb4824e.jpg
Black-tailed Oriole,https://inaturalist-open-data.s3.amazonaws.com/photos/92220/small.jpg,196a252e1eadae20945eb8e615b05f23eb25d747.jpg
Black-and-white Shrike-flycatcher,https://inaturalist-open-data.s3.amazonaws.com/photos/716545/small.jpg,365262b1ecc9faac5bc858009936bbdfbcaa4a51.jpg
Rufous-naped Lark,https://inaturalist-open-data.s3.amazonaws.com/photos/735864/small.jpg,3c3c34333a8ac40efe22482464b8c47e6dba0410.jpg
White-tailed Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Singing Bushlark,https://inaturalist-open-data.s3.amazonaws.com/photos/176747/small.jpg,d216ed2cf3b206e773d8a346eb64e3a2c992e0a8.jpg
Collared Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Gillett's Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Red-winged Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Friedmann's Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Flappet Lark,https://inaturalist-open-data.s3.amazonaws.com/photos/258469/small.jpg,9d130b3aaa1bfe403047d527106e9cf908964177.jpg
Williams's Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Crested Lark,https://inaturalist-open-data.s3.amazonaws.com/photos/4945/small.jpg,348e04c8a39e988a352e0bab34c58f650dc61a1c.jpg
Malabar Lark,https://inaturalist-open-data.s3.amazonaws.com/photos/74644/small.jpg,0fad38e36f3715e013deb8155e27195fb3faf5a9.jpg
Thekla Lark,https://inaturalist-open-data.s3.amazonaws.com/photos/74643/small.jpg,271d65cdc1a8be47f41d01e34c776884da714ff1.jpg
Fischer's Sparrow-Lark,https://inaturalist-open-data.s3.amazonaws.com/photos/735845/small.jpg,e2a592cbf12b55ad825a74ec9ffa54c040c9a7df.jpg
Chestnut-backed Sparrow-Lark,https://inaturalist-open-data.s3.amazonaws.com/photos/258476/small.jpg,863f8128dfd8713cc3d26b6a981c336f423ed2c8.jpg
Red-capped Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Somali Short-toed Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Masked Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Short-tailed Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Spike-heeled Lark,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Spotted Creeper,https://inaturalist-open-data.s3.amazonaws.com/photos/708025/small.jpg,17b92a4cad934c8981268ae28d751f3c79a9c233.jpg
Aberdare Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Rock-loving Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667759/small.jpg,f9651c5adc82e92d66ac79c18a5f76fbe096a60f.jpg
Tabora Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Desert Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/258453/small.jpg,5858c2d6fb2a005dbc7d75b54a7dc46d4c9e5e8f.jpg
Wing-snapping Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/841218/small.jpg,52bd2c1baaacf1b4ed7bd9e8138cb25af9f10a0e.jpg
Boran Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Siffling Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667769/small.jpg,f1e21b576b806480cb312df34abfdf3b934f4b46.jpg
Pectoral-patch Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Singing Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667755/small.jpg,4dae8cd5d1eecec75d015a6ac04af445f5a06f05.jpg
Carruthers's Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Chubb's Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Ashy Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667751/small.jpg,bfa09211676083c5dac0cc74d2bfa454f7d9e8ed.jpg
Red-faced Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667752/small.jpg,74dfc2ab92ff4f6e999b96b3d9351d8e10cc1567.jpg
Black-necked Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Winding Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/258454/small.jpg,f09f4e30939af75fdd7f23014e0d5071124d41d4.jpg
Hunter's Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667764/small.jpg,db0f427b7116bfcdf89ac5a7aeb46439118c52bc.jpg
Zitting Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/529208/small.jpg,d89377931950efa425b74baf15bb2165a6609410.jpg
Wailing Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667754/small.jpg,59cb996c5a4596c21ee5d98890d0bba8fbc2c6e1.jpg
Whistling Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Croaking Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667763/small.jpg,e9255557824b1ab0e5a4510f2227e714ae0fc974.jpg
Tana River Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Stout Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667772/small.jpg,8ddf6ee1aff3b5307e35bd8fcd49911b5e367f52.jpg
Levaillant's Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/26535/small.jpg,34062052f7573ddf20b747c42a265bc37b0c4956.jpg
Foxy Cisticola,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Trilling Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/667757/small.jpg,feceb21cddcc02e5cbd110314d228b7472b70d80.jpg
Banded Prinia,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
Pale Prinia,https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png,767f6ed1267c8b7694ddb6cb4203ad5c20484929.jpg
